,index,Unnamed: 0,name,nameLabel,education,educationLabel,countryLabel,isTrue,Questions,Statements,Group
12,4510,4664,Q100617,Rolf Schwanitz,Q2207696,SRH Hochschule for Health Gera,Germany,0,Did Rolf Schwanitz attend SRH Hochschule for Health Gera?,Rolf Schwanitz attended SRH Hochschule for Health Gera.,5
13,4506,4659,Q100617,Rolf Schwanitz,Q154561,University of Jena,Germany,1,Did Rolf Schwanitz attend University of Jena?,Rolf Schwanitz attended University of Jena.,5
14,28118,28731,Q1006996,Fu Ying,Q5507368,Fujian Medical University,People's Republic of China,0,Did Fu Ying attend Fujian Medical University?,Fu Ying attended Fujian Medical University.,6
15,28119,28732,Q1006996,Fu Ying,Q11074658,"Chengdu Normal University, CDNU",People's Republic of China,0,"Did Fu Ying attend Chengdu Normal University, CDNU?","Fu Ying attended Chengdu Normal University, CDNU.",6
16,28116,28729,Q1006996,Fu Ying,Q1144682,Beijing Foreign Studies University,People's Republic of China,1,Did Fu Ying attend Beijing Foreign Studies University?,Fu Ying attended Beijing Foreign Studies University.,6
17,28115,28728,Q1006996,Fu Ying,Q1516684,University of Kent,United Kingdom,1,Did Fu Ying attend University of Kent?,Fu Ying attended University of Kent.,6
18,5022,5196,Q100797,Florian Pronold,Q569460,Hochschule für Musik Hanns Eisler Berlin,Germany,0,Did Florian Pronold attend Hochschule für Musik Hanns Eisler Berlin?,Florian Pronold attended Hochschule für Musik Hanns Eisler Berlin.,7
19,5021,5195,Q100797,Florian Pronold,Q574571,University of Regensburg,Germany,1,Did Florian Pronold attend University of Regensburg?,Florian Pronold attended University of Regensburg.,7
20,28228,28843,Q1008881,Gela Bezhuashvili,Q12141934,Poltava University of Economics and Trade,Ukraine,0,Did Gela Bezhuashvili attend Poltava University of Economics and Trade?,Gela Bezhuashvili attended Poltava University of Economics and Trade.,8
21,28224,28839,Q1008881,Gela Bezhuashvili,Q84151,Taras Shevchenko National University of Kyiv,Ukraine,1,Did Gela Bezhuashvili attend Taras Shevchenko National University of Kyiv?,Gela Bezhuashvili attended Taras Shevchenko National University of Kyiv.,8
22,28235,28850,Q1010588,Giorgi Baramidze,Q5230631,David Aghmashenebeli University of Georgia,Georgia,0,Did Giorgi Baramidze attend David Aghmashenebeli University of Georgia?,Giorgi Baramidze attended David Aghmashenebeli University of Georgia.,9
23,28230,28845,Q1010588,Giorgi Baramidze,Q1425119,Georgian Technical University,Georgia,1,Did Giorgi Baramidze attend Georgian Technical University?,Giorgi Baramidze attended Georgian Technical University.,9
24,5031,5206,Q101192,Hans-Peter Bartels,Q283099,Bundeswehr University Munich,Germany,0,Did Hans-Peter Bartels attend Bundeswehr University Munich?,Hans-Peter Bartels attended Bundeswehr University Munich.,10
25,5026,5201,Q101192,Hans-Peter Bartels,Q156737,University of Kiel,Germany,1,Did Hans-Peter Bartels attend University of Kiel?,Hans-Peter Bartels attended University of Kiel.,10
26,5034,5209,Q101293,Klaus Meiser,Q1391248,University of Applied Sciences Meissen,Germany,0,Did Klaus Meiser attend University of Applied Sciences Meissen?,Klaus Meiser attended University of Applied Sciences Meissen.,11
27,5032,5207,Q101293,Klaus Meiser,Q700758,Saarland University,Germany,1,Did Klaus Meiser attend Saarland University?,Klaus Meiser attended Saarland University.,11
28,5039,5214,Q101321,Heiner Garg,Q315175,Academy of Fine Arts Leipzig,Germany,0,Did Heiner Garg attend Academy of Fine Arts Leipzig?,Heiner Garg attended Academy of Fine Arts Leipzig.,12
29,5038,5213,Q101321,Heiner Garg,Q153987,University of Freiburg,Germany,1,Did Heiner Garg attend University of Freiburg?,Heiner Garg attended University of Freiburg.,12
30,5050,5225,Q101410,François Fillon,Q734332,University of New Caledonia,France,0,Did François Fillon attend University of New Caledonia?,François Fillon attended University of New Caledonia.,13
31,5049,5224,Q101410,François Fillon,Q3152658,Jean Moulin University Institute of Technology,France,0,Did François Fillon attend Jean Moulin University Institute of Technology?,François Fillon attended Jean Moulin University Institute of Technology.,13
32,5048,5223,Q101410,François Fillon,Q3377282,Séminaire de Belley,France,0,Did François Fillon attend Séminaire de Belley?,François Fillon attended Séminaire de Belley.,13
33,5051,5227,Q101410,François Fillon,Q74452784,CY Cergy Paris University,France,0,Did François Fillon attend CY Cergy Paris University?,François Fillon attended CY Cergy Paris University.,13
34,5047,5222,Q101410,François Fillon,Q55849612,Paris Cité University,France,1,Did François Fillon attend Paris Cité University?,François Fillon attended Paris Cité University.,13
35,5045,5220,Q101410,François Fillon,Q834825,Le Mans University,France,1,Did François Fillon attend Le Mans University?,François Fillon attended Le Mans University.,13
36,5044,5219,Q101410,François Fillon,Q1155944,Paris Descartes University,France,1,Did François Fillon attend Paris Descartes University?,François Fillon attended Paris Descartes University.,13
37,5046,5221,Q101410,François Fillon,Q859363,Sciences Po,France,1,Did François Fillon attend Sciences Po?,François Fillon attended Sciences Po.,13
38,5057,5233,Q101504,Klaus-Peter Willsch,Q819312,Bergakademie Berlin,Germany,0,Did Klaus-Peter Willsch attend Bergakademie Berlin?,Klaus-Peter Willsch attended Bergakademie Berlin.,14
39,5052,5228,Q101504,Klaus-Peter Willsch,Q161982,Johannes Gutenberg University Mainz,Germany,1,Did Klaus-Peter Willsch attend Johannes Gutenberg University Mainz?,Klaus-Peter Willsch attended Johannes Gutenberg University Mainz.,14
40,5064,5240,Q101555,Kerstin Kaiser,Q895634,Technische Hochschule OWL,Germany,0,Did Kerstin Kaiser attend Technische Hochschule OWL?,Kerstin Kaiser attended Technische Hochschule OWL.,15
41,5060,5236,Q101555,Kerstin Kaiser,Q4146754,State Academic University of Humanities,Russia,0,Did Kerstin Kaiser attend State Academic University of Humanities?,Kerstin Kaiser attended State Academic University of Humanities.,15
42,5059,5235,Q101555,Kerstin Kaiser,Q27621,Saint Petersburg State University,Russia,1,Did Kerstin Kaiser attend Saint Petersburg State University?,Kerstin Kaiser attended Saint Petersburg State University.,15
43,5058,5234,Q101555,Kerstin Kaiser,Q687017,FernUniversität in Hagen,Germany,1,Did Kerstin Kaiser attend FernUniversität in Hagen?,Kerstin Kaiser attended FernUniversität in Hagen.,15
44,5070,5246,Q101599,Christian Carius,Q22963,German University of Administrative Sciences Speyer,Germany,0,Did Christian Carius attend German University of Administrative Sciences Speyer?,Christian Carius attended German University of Administrative Sciences Speyer.,16
45,5065,5241,Q101599,Christian Carius,Q687017,FernUniversität in Hagen,Germany,1,Did Christian Carius attend FernUniversität in Hagen?,Christian Carius attended FernUniversität in Hagen.,16
46,4945,5112,Q101658,Peter Hauk,Q1622220,University of Applied Sciences of the Grisons,Switzerland,0,Did Peter Hauk attend University of Applied Sciences of the Grisons?,Peter Hauk attended University of Applied Sciences of the Grisons.,17
47,4940,5107,Q101658,Peter Hauk,Q36188,University of Fribourg,Switzerland,1,Did Peter Hauk attend University of Fribourg?,Peter Hauk attended University of Fribourg.,17
48,4947,5114,Q101677,Helmut Rau,Q16826177,American University in Switzerland,Switzerland,0,Did Helmut Rau attend American University in Switzerland?,Helmut Rau attended American University in Switzerland.,18
49,4946,5113,Q101677,Helmut Rau,Q36188,University of Fribourg,Switzerland,1,Did Helmut Rau attend University of Fribourg?,Helmut Rau attended University of Fribourg.,18
50,4953,5120,Q101679,Jutta Lieske,Q453821,Fulda University of Applied Sciences,Germany,0,Did Jutta Lieske attend Fulda University of Applied Sciences?,Jutta Lieske attended Fulda University of Applied Sciences.,19
51,4952,5119,Q101679,Jutta Lieske,Q152087,Humboldt University of Berlin,Germany,1,Did Jutta Lieske attend Humboldt University of Berlin?,Jutta Lieske attended Humboldt University of Berlin.,19
52,4962,5130,Q101701,Tanja Gönner,Q616905,University of Augsburg,Germany,0,Did Tanja Gönner attend University of Augsburg?,Tanja Gönner attended University of Augsburg.,20
53,4957,5125,Q101701,Tanja Gönner,Q153978,University of Tübingen,Germany,1,Did Tanja Gönner attend University of Tübingen?,Tanja Gönner attended University of Tübingen.,20
54,4964,5132,Q101703,Astrid Grotelüschen,Q895948,University of Fulda,Germany,0,Did Astrid Grotelüschen attend University of Fulda?,Astrid Grotelüschen attended University of Fulda.,21
55,4963,5131,Q101703,Astrid Grotelüschen,Q152171,University of Bonn,Germany,1,Did Astrid Grotelüschen attend University of Bonn?,Astrid Grotelüschen attended University of Bonn.,21
56,4973,5142,Q101707,Juliane Rumpf,Q317032,University of Düsseldorf,Germany,0,Did Juliane Rumpf attend University of Düsseldorf?,Juliane Rumpf attended University of Düsseldorf.,22
57,4969,5137,Q101707,Juliane Rumpf,Q156737,University of Kiel,Germany,1,Did Juliane Rumpf attend University of Kiel?,Juliane Rumpf attended University of Kiel.,22
58,4979,5148,Q101714,Anita Tack,Q500692,University of Bremen,Germany,0,Did Anita Tack attend University of Bremen?,Anita Tack attended University of Bremen.,23
59,4974,5143,Q101714,Anita Tack,Q573975,Bauhaus-Universität Weimar,Germany,1,Did Anita Tack attend Bauhaus-Universität Weimar?,Anita Tack attended Bauhaus-Universität Weimar.,23
60,3325,3429,Q101881,Siegfried Balleis,Q1622123,Magdeburg-Stendal University of Applied Sciences,Germany,0,Did Siegfried Balleis attend Magdeburg-Stendal University of Applied Sciences?,Siegfried Balleis attended Magdeburg-Stendal University of Applied Sciences.,24
61,3324,3428,Q101881,Siegfried Balleis,Q40025,University of Erlangen–Nuremberg,Germany,1,Did Siegfried Balleis attend University of Erlangen–Nuremberg?,Siegfried Balleis attended University of Erlangen–Nuremberg.,24
62,28385,29002,Q1019029,Bärbel Kofler,Q655866,University of Magdeburg,Germany,0,Did Bärbel Kofler attend University of Magdeburg?,Bärbel Kofler attended University of Magdeburg.,25
63,28383,29000,Q1019029,Bärbel Kofler,Q263537,University of Applied Sciences Rosenheim,Germany,1,Did Bärbel Kofler attend University of Applied Sciences Rosenheim?,Bärbel Kofler attended University of Applied Sciences Rosenheim.,25
64,28390,29007,Q1021708,Ramón Luis Valcárcel Siso,Q1235594,University of Lleida,Spain,0,Did Ramón Luis Valcárcel Siso attend University of Lleida?,Ramón Luis Valcárcel Siso attended University of Lleida.,26
65,28389,29006,Q1021708,Ramón Luis Valcárcel Siso,Q1236345,University of Murcia,Spain,1,Did Ramón Luis Valcárcel Siso attend University of Murcia?,Ramón Luis Valcárcel Siso attended University of Murcia.,26
66,52,52,Q10218,Rahul Gandhi,Q1393301,Fairleigh Dickinson University,United States of America,0,Did Rahul Gandhi attend Fairleigh Dickinson University?,Rahul Gandhi attended Fairleigh Dickinson University.,27
67,53,53,Q10218,Rahul Gandhi,Q5035685,Capital University,United States of America,0,Did Rahul Gandhi attend Capital University?,Rahul Gandhi attended Capital University.,27
68,54,54,Q10218,Rahul Gandhi,Q1888661,Southern Oregon University,United States of America,0,Did Rahul Gandhi attend Southern Oregon University?,Rahul Gandhi attended Southern Oregon University.,27
69,49,49,Q10218,Rahul Gandhi,Q665105,University of Delhi,India,1,Did Rahul Gandhi attend University of Delhi?,Rahul Gandhi attended University of Delhi.,27
70,50,50,Q10218,Rahul Gandhi,Q2164222,Rollins College,United States of America,1,Did Rahul Gandhi attend Rollins College?,Rahul Gandhi attended Rollins College.,27
71,48,48,Q10218,Rahul Gandhi,Q13371,Harvard University,United States of America,1,Did Rahul Gandhi attend Harvard University?,Rahul Gandhi attended Harvard University.,27
72,3333,3437,Q102218,Ekkehard Klug,Q872180,Catholic University of Applied Sciences Mainz,Germany,0,Did Ekkehard Klug attend Catholic University of Applied Sciences Mainz?,Ekkehard Klug attended Catholic University of Applied Sciences Mainz.,28
73,3330,3434,Q102218,Ekkehard Klug,Q156737,University of Kiel,Germany,1,Did Ekkehard Klug attend University of Kiel?,Ekkehard Klug attended University of Kiel.,28
74,3337,3441,Q102254,Ulrich Nußbaum,Q1622115,Kempten University of Applied Sciences,Germany,0,Did Ulrich Nußbaum attend Kempten University of Applied Sciences?,Ulrich Nußbaum attended Kempten University of Applied Sciences.,29
75,3336,3440,Q102254,Ulrich Nußbaum,Q700758,Saarland University,Germany,1,Did Ulrich Nußbaum attend Saarland University?,Ulrich Nußbaum attended Saarland University.,29
76,3343,3448,Q102506,Wolfgang Bosbach,Q2718933,University of Applied Sciences Ravensburg-Weingarten,Germany,0,Did Wolfgang Bosbach attend University of Applied Sciences Ravensburg-Weingarten?,Wolfgang Bosbach attended University of Applied Sciences Ravensburg-Weingarten.,30
77,3341,3446,Q102506,Wolfgang Bosbach,Q54096,University of Cologne,Germany,1,Did Wolfgang Bosbach attend University of Cologne?,Wolfgang Bosbach attended University of Cologne.,30
78,28398,29015,Q1025807,Jiming Cai,Q1552757,Guangxi University,People's Republic of China,0,Did Jiming Cai attend Guangxi University?,Jiming Cai attended Guangxi University.,31
79,28399,29016,Q1025807,Jiming Cai,Q7800217,Tianjin University of Technology,People's Republic of China,0,Did Jiming Cai attend Tianjin University of Technology?,Jiming Cai attended Tianjin University of Technology.,31
80,28400,29017,Q1025807,Jiming Cai,Q649868,Hunan University,People's Republic of China,0,Did Jiming Cai attend Hunan University?,Jiming Cai attended Hunan University.,31
81,28397,29014,Q1025807,Jiming Cai,Q391150,Henan University,People's Republic of China,1,Did Jiming Cai attend Henan University?,Jiming Cai attended Henan University.,31
82,28395,29012,Q1025807,Jiming Cai,Q11141318,Hebei Normal University,People's Republic of China,1,Did Jiming Cai attend Hebei Normal University?,Jiming Cai attended Hebei Normal University.,31
83,28396,29013,Q1025807,Jiming Cai,Q254204,Nankai University,People's Republic of China,1,Did Jiming Cai attend Nankai University?,Jiming Cai attended Nankai University.,31
84,28405,29022,Q1026119,Cal Dooley,Q5127510,Clarke University,United States of America,0,Did Cal Dooley attend Clarke University?,Cal Dooley attended Clarke University.,32
85,28406,29023,Q1026119,Cal Dooley,Q4569311,Evangel University,United States of America,0,Did Cal Dooley attend Evangel University?,Cal Dooley attended Evangel University.,32
86,28403,29020,Q1026119,Cal Dooley,Q129421,"University of California, Davis",United States of America,1,"Did Cal Dooley attend University of California, Davis?","Cal Dooley attended University of California, Davis.",32
87,28404,29021,Q1026119,Cal Dooley,Q41506,Stanford University,United States of America,1,Did Cal Dooley attend Stanford University?,Cal Dooley attended Stanford University.,32
88,3348,3454,Q102641,Christian Dürr,Q30263681,AKAD University,Germany,0,Did Christian Dürr attend AKAD University?,Christian Dürr attended AKAD University.,33
89,3346,3452,Q102641,Christian Dürr,Q678982,Leibniz University Hannover,Germany,1,Did Christian Dürr attend Leibniz University Hannover?,Christian Dürr attended Leibniz University Hannover.,33
90,28413,29030,Q1026465,Rebecca Kadaga,Q15261310,Ndejje University,Uganda,0,Did Rebecca Kadaga attend Ndejje University?,Rebecca Kadaga attended Ndejje University.,34
91,28412,29029,Q1026465,Rebecca Kadaga,Q5654201,Harare Institute of Technology,Zimbabwe,0,Did Rebecca Kadaga attend Harare Institute of Technology?,Rebecca Kadaga attended Harare Institute of Technology.,34
92,28410,29027,Q1026465,Rebecca Kadaga,Q581954,University of Zimbabwe,Zimbabwe,1,Did Rebecca Kadaga attend University of Zimbabwe?,Rebecca Kadaga attended University of Zimbabwe.,34
93,28411,29028,Q1026465,Rebecca Kadaga,Q261506,Makerere University,Uganda,1,Did Rebecca Kadaga attend Makerere University?,Rebecca Kadaga attended Makerere University.,34
94,28418,29035,Q1026921,Lee Wing-tat,Q2120270,Northwest Normal University,People's Republic of China,0,Did Lee Wing-tat attend Northwest Normal University?,Lee Wing-tat attended Northwest Normal University.,35
95,28417,29034,Q1026921,Lee Wing-tat,Q15568,University of Hong Kong,People's Republic of China,1,Did Lee Wing-tat attend University of Hong Kong?,Lee Wing-tat attended University of Hong Kong.,35
96,28424,29041,Q1027026,Jeff Duncan,Q2822225,Academy of Art University,United States of America,0,Did Jeff Duncan attend Academy of Art University?,Jeff Duncan attended Academy of Art University.,36
97,28423,29040,Q1027026,Jeff Duncan,Q631066,Clemson University,United States of America,1,Did Jeff Duncan attend Clemson University?,Jeff Duncan attended Clemson University.,36
98,3523,3636,Q102732,Willi Stächele,Q17002861,Swiss Association for Private Schools and Universities,Switzerland,0,Did Willi Stächele attend Swiss Association for Private Schools and Universities?,Willi Stächele attended Swiss Association for Private Schools and Universities.,37
99,3522,3635,Q102732,Willi Stächele,Q36188,University of Fribourg,Switzerland,1,Did Willi Stächele attend University of Fribourg?,Willi Stächele attended University of Fribourg.,37
100,3530,3643,Q102760,Ulla Burchardt,Q1203121,Deutsche Hochschule für Prävention und Gesundheitsmanagement,Germany,0,Did Ulla Burchardt attend Deutsche Hochschule für Prävention und Gesundheitsmanagement?,Ulla Burchardt attended Deutsche Hochschule für Prävention und Gesundheitsmanagement.,38
101,3528,3641,Q102760,Ulla Burchardt,Q309948,Ruhr University Bochum,Germany,1,Did Ulla Burchardt attend Ruhr University Bochum?,Ulla Burchardt attended Ruhr University Bochum.,38
102,28589,29215,Q1027730,Calvin Say,Q1138384,University of Mississippi,United States of America,0,Did Calvin Say attend University of Mississippi?,Calvin Say attended University of Mississippi.,39
103,28584,29210,Q1027730,Calvin Say,Q217439,University of Hawaiʻi,United States of America,1,Did Calvin Say attend University of Hawaiʻi?,Calvin Say attended University of Hawaiʻi.,39
104,3535,3648,Q102832,Thomas Flierl,Q1492202,Popakademie Baden-Württemberg,Germany,0,Did Thomas Flierl attend Popakademie Baden-Württemberg?,Thomas Flierl attended Popakademie Baden-Württemberg.,40
105,3534,3647,Q102832,Thomas Flierl,Q152087,Humboldt University of Berlin,Germany,1,Did Thomas Flierl attend Humboldt University of Berlin?,Thomas Flierl attended Humboldt University of Berlin.,40
106,3541,3654,Q102846,Sascha Vogt,Q319333,University of Hildesheim,Germany,0,Did Sascha Vogt attend University of Hildesheim?,Sascha Vogt attended University of Hildesheim.,41
107,3540,3653,Q102846,Sascha Vogt,Q168426,University of Münster,Germany,1,Did Sascha Vogt attend University of Münster?,Sascha Vogt attended University of Münster.,41
108,57,57,Q10287,Manuel Valls,Q3491150,Sorbonne Universités,France,0,Did Manuel Valls attend Sorbonne Universités?,Manuel Valls attended Sorbonne Universités.,42
109,56,56,Q10287,Manuel Valls,Q999763,University of Paris 1 Pantheon-Sorbonne,France,1,Did Manuel Valls attend University of Paris 1 Pantheon-Sorbonne?,Manuel Valls attended University of Paris 1 Pantheon-Sorbonne.,42
110,28595,29221,Q1028887,Camiel Eurlings,Q1663974,Theological University Apeldoorn,Netherlands,0,Did Camiel Eurlings attend Theological University Apeldoorn?,Camiel Eurlings attended Theological University Apeldoorn.,43
111,28590,29216,Q1028887,Camiel Eurlings,Q280824,Eindhoven University of Technology,Netherlands,1,Did Camiel Eurlings attend Eindhoven University of Technology?,Camiel Eurlings attended Eindhoven University of Technology.,43
112,28601,29227,Q1029622,Regula Rytz,Q262760,Swiss Federal Institute of Technology in Lausanne,Switzerland,0,Did Regula Rytz attend Swiss Federal Institute of Technology in Lausanne?,Regula Rytz attended Swiss Federal Institute of Technology in Lausanne.,44
113,28596,29222,Q1029622,Regula Rytz,Q659080,University of Bern,Switzerland,1,Did Regula Rytz attend University of Bern?,Regula Rytz attended University of Bern.,44
114,28607,29233,Q1030572,Csaba Gyüre,Q240041,Lutheran Theological University,Hungary,0,Did Csaba Gyüre attend Lutheran Theological University?,Csaba Gyüre attended Lutheran Theological University.,45
115,28602,29228,Q1030572,Csaba Gyüre,Q903092,University of Debrecen,Hungary,1,Did Csaba Gyüre attend University of Debrecen?,Csaba Gyüre attended University of Debrecen.,45
116,3552,3665,Q103165,Gitta Connemann,Q2718928,Hochschule Geisenheim University,Germany,0,Did Gitta Connemann attend Hochschule Geisenheim University?,Gitta Connemann attended Hochschule Geisenheim University.,46
117,3551,3664,Q103165,Gitta Connemann,Q1622109,University of Applied Sciences Hof,Germany,0,Did Gitta Connemann attend University of Applied Sciences Hof?,Gitta Connemann attended University of Applied Sciences Hof.,46
118,3547,3660,Q103165,Gitta Connemann,Q702499,Osnabrück University,Germany,1,Did Gitta Connemann attend Osnabrück University?,Gitta Connemann attended Osnabrück University.,46
119,3546,3659,Q103165,Gitta Connemann,Q161982,Johannes Gutenberg University Mainz,Germany,1,Did Gitta Connemann attend Johannes Gutenberg University Mainz?,Gitta Connemann attended Johannes Gutenberg University Mainz.,46
120,28727,29356,Q1032742,Canan Bayram,Q828773,Berufsakademie Glauchau,Germany,0,Did Canan Bayram attend Berufsakademie Glauchau?,Canan Bayram attended Berufsakademie Glauchau.,47
121,28726,29355,Q1032742,Canan Bayram,Q152171,University of Bonn,Germany,1,Did Canan Bayram attend University of Bonn?,Canan Bayram attended University of Bonn.,47
122,28734,29363,Q1032853,Imre Halasi,Q1242703,Pázmány Péter Catholic University Faculty of Theology,Hungary,0,Did Imre Halasi attend Pázmány Péter Catholic University Faculty of Theology?,Imre Halasi attended Pázmány Péter Catholic University Faculty of Theology.,48
123,28732,29361,Q1032853,Imre Halasi,Q1303297,University of Theatre and Film Arts,Hungary,1,Did Imre Halasi attend University of Theatre and Film Arts?,Imre Halasi attended University of Theatre and Film Arts.,48
124,28739,29368,Q1033121,Ali Ashour,Q25893967,University Elmergib,Libya,0,Did Ali Ashour attend University Elmergib?,Ali Ashour attended University Elmergib.,49
125,28738,29367,Q1033121,Ali Ashour,Q3134657,University of Benghazi,Libya,1,Did Ali Ashour attend University of Benghazi?,Ali Ashour attended University of Benghazi.,49
126,28749,29378,Q1033823,Tamás Harangozó,Q12815487,National University of Public Service,Hungary,0,Did Tamás Harangozó attend National University of Public Service?,Tamás Harangozó attended National University of Public Service.,50
127,28744,29373,Q1033823,Tamás Harangozó,Q1187444,University of Pécs,Hungary,1,Did Tamás Harangozó attend University of Pécs?,Tamás Harangozó attended University of Pécs.,50
128,28751,29380,Q1034154,Ramón Luis Nieves,Q3551578,University of Dallas,United States of America,0,Did Ramón Luis Nieves attend University of Dallas?,Ramón Luis Nieves attended University of Dallas.,51
129,28750,29379,Q1034154,Ramón Luis Nieves,Q7896167,"University of Puerto Rico, Río Piedras Campus",United States of America,1,"Did Ramón Luis Nieves attend University of Puerto Rico, Río Piedras Campus?","Ramón Luis Nieves attended University of Puerto Rico, Río Piedras Campus.",51
130,3555,3669,Q103436,Daniel Köbler,Q54166,TH Köln – University of Applied Sciences,Germany,0,Did Daniel Köbler attend TH Köln – University of Applied Sciences?,Daniel Köbler attended TH Köln – University of Applied Sciences.,52
131,3553,3666,Q103436,Daniel Köbler,Q161982,Johannes Gutenberg University Mainz,Germany,1,Did Daniel Köbler attend Johannes Gutenberg University Mainz?,Daniel Köbler attended Johannes Gutenberg University Mainz.,52
132,3559,3673,Q103450,Sven Morlok,Q15056949,Cardinal Schulte House,Germany,0,Did Sven Morlok attend Cardinal Schulte House?,Sven Morlok attended Cardinal Schulte House.,53
133,3558,3672,Q103450,Sven Morlok,Q158158,TU Dresden,Germany,1,Did Sven Morlok attend TU Dresden?,Sven Morlok attended TU Dresden.,53
134,3567,3681,Q103472,Eveline Lemke,Q1622093,University of Applied Sciences Bremerhaven,Germany,0,Did Eveline Lemke attend University of Applied Sciences Bremerhaven?,Eveline Lemke attended University of Applied Sciences Bremerhaven.,54
135,3564,3678,Q103472,Eveline Lemke,Q687017,FernUniversität in Hagen,Germany,1,Did Eveline Lemke attend FernUniversität in Hagen?,Eveline Lemke attended FernUniversität in Hagen.,54
136,28761,29390,Q1034819,Tamás Hegedűs,Q718311,Moholy-Nagy University of Art and Design,Hungary,0,Did Tamás Hegedűs attend Moholy-Nagy University of Art and Design?,Tamás Hegedűs attended Moholy-Nagy University of Art and Design.,55
137,28756,29385,Q1034819,Tamás Hegedűs,Q1187444,University of Pécs,Hungary,1,Did Tamás Hegedűs attend University of Pécs?,Tamás Hegedűs attended University of Pécs.,55
138,3572,3686,Q103518,Christine Scheel,Q153978,University of Tübingen,Germany,0,Did Christine Scheel attend University of Tübingen?,Christine Scheel attended University of Tübingen.,56
139,3570,3684,Q103518,Christine Scheel,Q40025,University of Erlangen–Nuremberg,Germany,1,Did Christine Scheel attend University of Erlangen–Nuremberg?,Christine Scheel attended University of Erlangen–Nuremberg.,56
140,3577,3691,Q103519,Anton Hofreiter,Q569350,University of Television and Film Munich,Germany,0,Did Anton Hofreiter attend University of Television and Film Munich?,Anton Hofreiter attended University of Television and Film Munich.,57
141,3576,3690,Q103519,Anton Hofreiter,Q55044,Ludwig Maximilian University of Munich,Germany,1,Did Anton Hofreiter attend Ludwig Maximilian University of Munich?,Anton Hofreiter attended Ludwig Maximilian University of Munich.,57
142,3909,4036,Q103523,Michael Meister,Q1622186,Center for Jewish Studies Heidelberg,Germany,0,Did Michael Meister attend Center for Jewish Studies Heidelberg?,Michael Meister attended Center for Jewish Studies Heidelberg.,58
143,3908,4035,Q103523,Michael Meister,Q310695,Technical University of Darmstadt,Germany,1,Did Michael Meister attend Technical University of Darmstadt?,Michael Meister attended Technical University of Darmstadt.,58
144,3915,4042,Q103539,Lutz Sikorski,Q1622135,Osnabrück University of Applied Sciences,Germany,0,Did Lutz Sikorski attend Osnabrück University of Applied Sciences?,Lutz Sikorski attended Osnabrück University of Applied Sciences.,59
145,3914,4041,Q103539,Lutz Sikorski,Q50662,Goethe University Frankfurt,Germany,1,Did Lutz Sikorski attend Goethe University Frankfurt?,Lutz Sikorski attended Goethe University Frankfurt.,59
146,3925,4052,Q103655,Julia Bonk,Q165528,University of Greifswald,Germany,0,Did Julia Bonk attend University of Greifswald?,Julia Bonk attended University of Greifswald.,60
