,index,Unnamed: 0,name,nameLabel,education,educationLabel,countryLabel,isTrue,Questions,Statements,Group
11,15,15,Q320,Michelle Bachelet,Q152087,Humboldt University of Berlin,Germany,1,Did Michelle Bachelet attend Humboldt University of Berlin?,Michelle Bachelet attended Humboldt University of Berlin.,2
12,23,23,Q329,Nicolas Sarkozy,Q16024190,Université Européenne des Senteurs & Saveurs,France,0,Did Nicolas Sarkozy attend Université Européenne des Senteurs & Saveurs?,Nicolas Sarkozy attended Université Européenne des Senteurs & Saveurs.,3
13,24,24,Q329,Nicolas Sarkozy,Q15952952,Petit Séminaire de Consolation,France,0,Did Nicolas Sarkozy attend Petit Séminaire de Consolation?,Nicolas Sarkozy attended Petit Séminaire de Consolation.,3
14,21,21,Q329,Nicolas Sarkozy,Q1394262,Paris Nanterre University,France,1,Did Nicolas Sarkozy attend Paris Nanterre University?,Nicolas Sarkozy attended Paris Nanterre University.,3
15,22,22,Q329,Nicolas Sarkozy,Q859363,Sciences Po,France,1,Did Nicolas Sarkozy attend Sciences Po?,Nicolas Sarkozy attended Sciences Po.,3
16,29,29,Q567,Angela Merkel,Q554425,FH Münster,Germany,0,Did Angela Merkel attend FH Münster?,Angela Merkel attended FH Münster.,4
17,28,28,Q567,Angela Merkel,Q154804,Leipzig University,Germany,1,Did Angela Merkel attend Leipzig University?,Angela Merkel attended Leipzig University.,4
18,36,36,Q1058,Narendra Modi,Q18110623,Birbal Sahni Institute of Palaeobotany,India,0,Did Narendra Modi attend Birbal Sahni Institute of Palaeobotany?,Narendra Modi attended Birbal Sahni Institute of Palaeobotany.,5
19,37,37,Q1058,Narendra Modi,Q61801344,"Government Polytechnic College, Cherthala",India,0,"Did Narendra Modi attend Government Polytechnic College, Cherthala?","Narendra Modi attended Government Polytechnic College, Cherthala.",5
20,34,34,Q1058,Narendra Modi,Q665105,University of Delhi,India,1,Did Narendra Modi attend University of Delhi?,Narendra Modi attended University of Delhi.,5
21,35,35,Q1058,Narendra Modi,Q507349,Gujarat University,India,1,Did Narendra Modi attend Gujarat University?,Narendra Modi attended Gujarat University.,5
22,43,43,Q9670,Caroline Lucas,Q7427887,Savannah State University College of Sciences and Technology,United States of America,0,Did Caroline Lucas attend Savannah State University College of Sciences and Technology?,Caroline Lucas attended Savannah State University College of Sciences and Technology.,6
23,44,44,Q9670,Caroline Lucas,Q4982087,Fitchburg State University,United States of America,0,Did Caroline Lucas attend Fitchburg State University?,Caroline Lucas attended Fitchburg State University.,6
24,41,41,Q9670,Caroline Lucas,Q52413,University of Kansas,United States of America,1,Did Caroline Lucas attend University of Kansas?,Caroline Lucas attended University of Kansas.,6
25,42,42,Q9670,Caroline Lucas,Q1414861,University of Exeter,United Kingdom,1,Did Caroline Lucas attend University of Exeter?,Caroline Lucas attended University of Exeter.,6
26,51,51,Q10218,Rahul Gandhi,Q104855385,Raja Shankar Shah University,India,0,Did Rahul Gandhi attend Raja Shankar Shah University?,Rahul Gandhi attended Raja Shankar Shah University.,7
27,52,52,Q10218,Rahul Gandhi,Q1393301,Fairleigh Dickinson University,United States of America,0,Did Rahul Gandhi attend Fairleigh Dickinson University?,Rahul Gandhi attended Fairleigh Dickinson University.,7
28,53,53,Q10218,Rahul Gandhi,Q5035685,Capital University,United States of America,0,Did Rahul Gandhi attend Capital University?,Rahul Gandhi attended Capital University.,7
29,48,48,Q10218,Rahul Gandhi,Q13371,Harvard University,United States of America,1,Did Rahul Gandhi attend Harvard University?,Rahul Gandhi attended Harvard University.,7
30,49,49,Q10218,Rahul Gandhi,Q665105,University of Delhi,India,1,Did Rahul Gandhi attend University of Delhi?,Rahul Gandhi attended University of Delhi.,7
31,50,50,Q10218,Rahul Gandhi,Q2164222,Rollins College,United States of America,1,Did Rahul Gandhi attend Rollins College?,Rahul Gandhi attended Rollins College.,7
32,57,57,Q10287,Manuel Valls,Q3491150,Sorbonne Universités,France,0,Did Manuel Valls attend Sorbonne Universités?,Manuel Valls attended Sorbonne Universités.,8
33,56,56,Q10287,Manuel Valls,Q999763,University of Paris 1 Pantheon-Sorbonne,France,1,Did Manuel Valls attend University of Paris 1 Pantheon-Sorbonne?,Manuel Valls attended University of Paris 1 Pantheon-Sorbonne.,8
34,63,63,Q10648,Gordon Brown,Q7795383,Thomas Young Centre,United Kingdom,0,Did Gordon Brown attend Thomas Young Centre?,Gordon Brown attended Thomas Young Centre.,9
35,62,62,Q10648,Gordon Brown,Q160302,University of Edinburgh,United Kingdom,1,Did Gordon Brown attend University of Edinburgh?,Gordon Brown attended University of Edinburgh.,9
36,69,69,Q10652,Alex Salmond,Q3445856,Royal Agricultural University,United Kingdom,0,Did Alex Salmond attend Royal Agricultural University?,Alex Salmond attended Royal Agricultural University.,10
37,68,68,Q10652,Alex Salmond,Q216273,University of St Andrews,United Kingdom,1,Did Alex Salmond attend University of St Andrews?,Alex Salmond attended University of St Andrews.,10
38,75,75,Q10694,Leanne Wood,Q270532,University of Aberdeen,United Kingdom,0,Did Leanne Wood attend University of Aberdeen?,Leanne Wood attended University of Aberdeen.,11
39,74,74,Q10694,Leanne Wood,Q1072029,University of Wales,United Kingdom,1,Did Leanne Wood attend University of Wales?,Leanne Wood attended University of Wales.,11
40,81,81,Q10819,Mariano Rajoy,Q339482,University of Oñati,Spain,0,Did Mariano Rajoy attend University of Oñati?,Mariano Rajoy attended University of Oñati.,12
41,80,80,Q10819,Mariano Rajoy,Q1473677,University of Santiago de Compostela,Spain,1,Did Mariano Rajoy attend University of Santiago de Compostela?,Mariano Rajoy attended University of Santiago de Compostela.,12
42,87,87,Q11107,Sonia Sotomayor,Q168756,"University of California, Berkeley",United States of America,0,"Did Sonia Sotomayor attend University of California, Berkeley?","Sonia Sotomayor attended University of California, Berkeley.",13
43,86,86,Q11107,Sonia Sotomayor,Q21578,Princeton University,United States of America,1,Did Sonia Sotomayor attend Princeton University?,Sonia Sotomayor attended Princeton University.,13
44,95,95,Q11607,"Jon Huntsman, Jr.",Q4708506,Alaska Bible College,United States of America,0,"Did Jon Huntsman, Jr. attend Alaska Bible College?","Jon Huntsman, Jr. attended Alaska Bible College.",14
45,96,96,Q11607,"Jon Huntsman, Jr.",Q7082127,Oklahoma Christian University,United States of America,0,"Did Jon Huntsman, Jr. attend Oklahoma Christian University?","Jon Huntsman, Jr. attended Oklahoma Christian University.",14
46,97,97,Q11607,"Jon Huntsman, Jr.",Q6868350,Minnesota Life College,United States of America,0,"Did Jon Huntsman, Jr. attend Minnesota Life College?","Jon Huntsman, Jr. attended Minnesota Life College.",14
47,92,92,Q11607,"Jon Huntsman, Jr.",Q1329269,The Wharton School,United States of America,1,"Did Jon Huntsman, Jr. attend The Wharton School?","Jon Huntsman, Jr. attended The Wharton School.",14
48,93,93,Q11607,"Jon Huntsman, Jr.",Q168515,University of Utah,United States of America,1,"Did Jon Huntsman, Jr. attend University of Utah?","Jon Huntsman, Jr. attended University of Utah.",14
49,94,94,Q11607,"Jon Huntsman, Jr.",Q706712,National Taiwan Normal University,Taiwan,1,"Did Jon Huntsman, Jr. attend National Taiwan Normal University?","Jon Huntsman, Jr. attended National Taiwan Normal University.",14
50,101,101,Q11668,Nikki Haley,Q1075148,"University of California, Riverside",United States of America,0,"Did Nikki Haley attend University of California, Riverside?","Nikki Haley attended University of California, Riverside.",15
51,100,100,Q11668,Nikki Haley,Q631066,Clemson University,United States of America,1,Did Nikki Haley attend Clemson University?,Nikki Haley attended Clemson University.,15
52,107,107,Q11669,Mark Sanford,Q7996977,Whitworth University,United States of America,0,Did Mark Sanford attend Whitworth University?,Mark Sanford attended Whitworth University.,16
53,106,106,Q11669,Mark Sanford,Q213439,University of Virginia,United States of America,1,Did Mark Sanford attend University of Virginia?,Mark Sanford attended University of Virginia.,16
54,113,113,Q11670,Jim Hodges,Q8040279,WyoTech,United States of America,0,Did Jim Hodges attend WyoTech?,Jim Hodges attended WyoTech.,17
55,112,112,Q11670,Jim Hodges,Q1024426,University of South Carolina,United States of America,1,Did Jim Hodges attend University of South Carolina?,Jim Hodges attended University of South Carolina.,17
56,120,120,Q11671,David Beasley,Q7895969,University of North Florida Department of Music,United States of America,0,Did David Beasley attend University of North Florida Department of Music?,David Beasley attended University of North Florida Department of Music.,18
57,121,121,Q11671,David Beasley,Q6544942,Life Pacific University,United States of America,0,Did David Beasley attend Life Pacific University?,David Beasley attended Life Pacific University.,18
58,118,118,Q11671,David Beasley,Q1024426,University of South Carolina,United States of America,1,Did David Beasley attend University of South Carolina?,David Beasley attended University of South Carolina.,18
59,119,119,Q11671,David Beasley,Q631066,Clemson University,United States of America,1,Did David Beasley attend Clemson University?,David Beasley attended Clemson University.,18
60,126,126,Q11673,Andrew Cuomo,Q4686112,Advanced Academy of Georgia,United States of America,0,Did Andrew Cuomo attend Advanced Academy of Georgia?,Andrew Cuomo attended Advanced Academy of Georgia.,19
61,125,125,Q11673,Andrew Cuomo,Q130965,Fordham University,United States of America,1,Did Andrew Cuomo attend Fordham University?,Andrew Cuomo attended Fordham University.,19
62,133,133,Q11674,David Paterson,Q7571400,Southwestern Christian University,United States of America,0,Did David Paterson attend Southwestern Christian University?,David Paterson attended Southwestern Christian University.,20
63,134,134,Q11674,David Paterson,Q5461460,Florida Institute of Oceanography,United States of America,0,Did David Paterson attend Florida Institute of Oceanography?,David Paterson attended Florida Institute of Oceanography.,20
64,131,131,Q11674,David Paterson,Q49088,Columbia University,United States of America,1,Did David Paterson attend Columbia University?,David Paterson attended Columbia University.,20
65,132,132,Q11674,David Paterson,Q1623314,Hofstra University,United States of America,1,Did David Paterson attend Hofstra University?,David Paterson attended Hofstra University.,20
66,139,139,Q11675,Eliot Spitzer,Q8214783,University of La Verne,United States of America,0,Did Eliot Spitzer attend University of La Verne?,Eliot Spitzer attended University of La Verne.,21
67,138,138,Q11675,Eliot Spitzer,Q21578,Princeton University,United States of America,1,Did Eliot Spitzer attend Princeton University?,Eliot Spitzer attended Princeton University.,21
68,145,145,Q11735,Michael Spindelegger,Q682739,Johannes Kepler University Linz,Austria,0,Did Michael Spindelegger attend Johannes Kepler University Linz?,Michael Spindelegger attended Johannes Kepler University Linz.,22
69,144,144,Q11735,Michael Spindelegger,Q165980,University of Vienna,Austria,1,Did Michael Spindelegger attend University of Vienna?,Michael Spindelegger attended University of Vienna.,22
70,151,151,Q11762,Jürgen Trittin,Q55044,Ludwig Maximilian University of Munich,Germany,0,Did Jürgen Trittin attend Ludwig Maximilian University of Munich?,Jürgen Trittin attended Ludwig Maximilian University of Munich.,23
71,150,150,Q11762,Jürgen Trittin,Q152838,University of Göttingen,Germany,1,Did Jürgen Trittin attend University of Göttingen?,Jürgen Trittin attended University of Göttingen.,23
72,157,157,Q12498,Stefaan De Clerck,Q2515434,Rijksuniversitair Centrum Antwerpen,Belgium,0,Did Stefaan De Clerck attend Rijksuniversitair Centrum Antwerpen?,Stefaan De Clerck attended Rijksuniversitair Centrum Antwerpen.,24
73,156,156,Q12498,Stefaan De Clerck,Q1736308,Katholieke Universiteit Leuven Campus Kortrijk,Belgium,1,Did Stefaan De Clerck attend Katholieke Universiteit Leuven Campus Kortrijk?,Stefaan De Clerck attended Katholieke Universiteit Leuven Campus Kortrijk.,24
74,164,164,Q12499,Patrick Janssens,Q1971174,University of South Wales,United Kingdom,0,Did Patrick Janssens attend University of South Wales?,Patrick Janssens attended University of South Wales.,25
75,165,165,Q12499,Patrick Janssens,Q304985,Royal College of Music,United Kingdom,0,Did Patrick Janssens attend Royal College of Music?,Patrick Janssens attended Royal College of Music.,25
76,162,162,Q12499,Patrick Janssens,Q174570,London School of Economics and Political Science,United Kingdom,1,Did Patrick Janssens attend London School of Economics and Political Science?,Patrick Janssens attended London School of Economics and Political Science.,25
77,163,163,Q12499,Patrick Janssens,Q175241,University of Antwerp,Belgium,1,Did Patrick Janssens attend University of Antwerp?,Patrick Janssens attended University of Antwerp.,25
78,171,171,Q12777,Joan Herrera i Torres,Q666916,Vigo University,Spain,0,Did Joan Herrera i Torres attend Vigo University?,Joan Herrera i Torres attended Vigo University.,26
79,172,172,Q12777,Joan Herrera i Torres,Q1811146,University of the Balearic Islands,Spain,0,Did Joan Herrera i Torres attend University of the Balearic Islands?,Joan Herrera i Torres attended University of the Balearic Islands.,26
80,169,169,Q12777,Joan Herrera i Torres,Q219615,University of Barcelona,Spain,1,Did Joan Herrera i Torres attend University of Barcelona?,Joan Herrera i Torres attended University of Barcelona.,26
81,170,170,Q12777,Joan Herrera i Torres,Q24543,Pompeu Fabra University,Spain,1,Did Joan Herrera i Torres attend Pompeu Fabra University?,Joan Herrera i Torres attended Pompeu Fabra University.,26
82,177,177,Q12819,Małgorzata Handzlik,Q2140369,Łódź University of Technology,Poland,0,Did Małgorzata Handzlik attend Łódź University of Technology?,Małgorzata Handzlik attended Łódź University of Technology.,27
83,176,176,Q12819,Małgorzata Handzlik,Q615154,University of Silesia in Katowice,Poland,1,Did Małgorzata Handzlik attend University of Silesia in Katowice?,Małgorzata Handzlik attended University of Silesia in Katowice.,27
84,181,183,Q12869,Kris Peeters,Q1781858,Hasselt University,Belgium,0,Did Kris Peeters attend Hasselt University?,Kris Peeters attended Hasselt University.,28
85,180,182,Q12869,Kris Peeters,Q175241,University of Antwerp,Belgium,1,Did Kris Peeters attend University of Antwerp?,Kris Peeters attended University of Antwerp.,28
86,187,189,Q12911,Christopher Loeak,Q16973001,"University of California, Irvine School of Humanities",United States of America,0,"Did Christopher Loeak attend University of California, Irvine School of Humanities?","Christopher Loeak attended University of California, Irvine School of Humanities.",29
87,186,188,Q12911,Christopher Loeak,Q1591615,Hawaii Pacific University,United States of America,1,Did Christopher Loeak attend Hawaii Pacific University?,Christopher Loeak attended Hawaii Pacific University.,29
88,193,195,Q12914,Kessai Note,Q890541,University of Goroka,Papua New Guinea,0,Did Kessai Note attend University of Goroka?,Kessai Note attended University of Goroka.,30
89,192,194,Q12914,Kessai Note,Q780975,University of Papua New Guinea,Papua New Guinea,1,Did Kessai Note attend University of Papua New Guinea?,Kessai Note attended University of Papua New Guinea.,30
90,199,201,Q12927,Marine Le Pen,Q1155944,Paris Descartes University,France,0,Did Marine Le Pen attend Paris Descartes University?,Marine Le Pen attended Paris Descartes University.,31
91,198,200,Q12927,Marine Le Pen,Q662976,Panthéon-Assas University,France,1,Did Marine Le Pen attend Panthéon-Assas University?,Marine Le Pen attended Panthéon-Assas University.,31
92,205,208,Q12932,Olivier Besancenot,Q1477551,Université Catholique de Lille,France,0,Did Olivier Besancenot attend Université Catholique de Lille?,Olivier Besancenot attended Université Catholique de Lille.,32
93,204,206,Q12932,Olivier Besancenot,Q1394262,Paris Nanterre University,France,1,Did Olivier Besancenot attend Paris Nanterre University?,Olivier Besancenot attended Paris Nanterre University.,32
94,211,214,Q12961,Nicolas Dupont-Aignan,Q22996338,Grand Séminaire de Quimper,France,0,Did Nicolas Dupont-Aignan attend Grand Séminaire de Quimper?,Nicolas Dupont-Aignan attended Grand Séminaire de Quimper.,33
95,212,215,Q12961,Nicolas Dupont-Aignan,Q3268864,Lycee Notre-Dame Saint-Sigisbert,France,0,Did Nicolas Dupont-Aignan attend Lycee Notre-Dame Saint-Sigisbert?,Nicolas Dupont-Aignan attended Lycee Notre-Dame Saint-Sigisbert.,33
96,209,212,Q12961,Nicolas Dupont-Aignan,Q1546437,Paris Dauphine University,France,1,Did Nicolas Dupont-Aignan attend Paris Dauphine University?,Nicolas Dupont-Aignan attended Paris Dauphine University.,33
97,210,213,Q12961,Nicolas Dupont-Aignan,Q859363,Sciences Po,France,1,Did Nicolas Dupont-Aignan attend Sciences Po?,Nicolas Dupont-Aignan attended Sciences Po.,33
98,216,221,Q12963,François Bayrou,Q118481943,minor seminary of Avignon,France,0,Did François Bayrou attend minor seminary of Avignon?,François Bayrou attended minor seminary of Avignon.,34
99,215,219,Q12963,François Bayrou,Q13342,Bordeaux Montaigne University,France,1,Did François Bayrou attend Bordeaux Montaigne University?,François Bayrou attended Bordeaux Montaigne University.,34
100,221,226,Q12964,François-Xavier Villain,Q259388,University of Nantes,France,0,Did François-Xavier Villain attend University of Nantes?,François-Xavier Villain attended University of Nantes.,35
101,220,225,Q12964,François-Xavier Villain,Q859363,Sciences Po,France,1,Did François-Xavier Villain attend Sciences Po?,François-Xavier Villain attended Sciences Po.,35
102,225,232,Q12978,Guy Verhofstadt,Q1781858,Hasselt University,Belgium,0,Did Guy Verhofstadt attend Hasselt University?,Guy Verhofstadt attended Hasselt University.,36
103,224,231,Q12978,Guy Verhofstadt,Q1137665,Ghent University,Belgium,1,Did Guy Verhofstadt attend Ghent University?,Guy Verhofstadt attended Ghent University.,36
104,231,239,Q12981,Yves Leterme,Q1109135,College of Europe,Belgium,0,Did Yves Leterme attend College of Europe?,Yves Leterme attended College of Europe.,37
105,232,240,Q12981,Yves Leterme,Q1391752,UCLouvain Saint-Louis – Bruxelles,Belgium,0,Did Yves Leterme attend UCLouvain Saint-Louis – Bruxelles?,Yves Leterme attended UCLouvain Saint-Louis – Bruxelles.,37
106,229,237,Q12981,Yves Leterme,Q833670,Katholieke Universiteit Leuven,Belgium,1,Did Yves Leterme attend Katholieke Universiteit Leuven?,Yves Leterme attended Katholieke Universiteit Leuven.,37
107,230,238,Q12981,Yves Leterme,Q1137665,Ghent University,Belgium,1,Did Yves Leterme attend Ghent University?,Yves Leterme attended Ghent University.,37
108,238,246,Q13133,Michelle Obama,Q7587290,St. Bernard's School of Theology and Ministry,United States of America,0,Did Michelle Obama attend St. Bernard's School of Theology and Ministry?,Michelle Obama attended St. Bernard's School of Theology and Ministry.,38
109,239,247,Q13133,Michelle Obama,Q1100801,Cleveland State University,United States of America,0,Did Michelle Obama attend Cleveland State University?,Michelle Obama attended Cleveland State University.,38
110,236,244,Q13133,Michelle Obama,Q21578,Princeton University,United States of America,1,Did Michelle Obama attend Princeton University?,Michelle Obama attended Princeton University.,38
111,237,245,Q13133,Michelle Obama,Q14712798,Marymount University,United States of America,1,Did Michelle Obama attend Marymount University?,Michelle Obama attended Marymount University.,38
112,244,252,Q56220,Ivo Sanader,Q461551,Anton Bruckner Private University,Austria,0,Did Ivo Sanader attend Anton Bruckner Private University?,Ivo Sanader attended Anton Bruckner Private University.,39
113,243,251,Q56220,Ivo Sanader,Q875788,University of Innsbruck,Austria,1,Did Ivo Sanader attend University of Innsbruck?,Ivo Sanader attended University of Innsbruck.,39
114,249,259,Q56226,Kim Jong-un,Q65288584,Pyongyang Jang Chol-gu University of Commerce,North Korea,0,Did Kim Jong-un attend Pyongyang Jang Chol-gu University of Commerce?,Kim Jong-un attended Pyongyang Jang Chol-gu University of Commerce.,40
115,250,260,Q56226,Kim Jong-un,Q5953378,Institute of Natural Science,North Korea,0,Did Kim Jong-un attend Institute of Natural Science?,Kim Jong-un attended Institute of Natural Science.,40
116,247,257,Q56226,Kim Jong-un,Q39920,Kim Il-sung University,North Korea,1,Did Kim Jong-un attend Kim Il-sung University?,Kim Jong-un attended Kim Il-sung University.,40
117,248,258,Q56226,Kim Jong-un,Q39980,Kim Il-sung Military University,North Korea,1,Did Kim Jong-un attend Kim Il-sung Military University?,Kim Jong-un attended Kim Il-sung Military University.,40
118,255,266,Q57254,Ollanta Humala,Q6156569,Universidad Nacional José Faustino Sánchez Carrión,Peru,0,Did Ollanta Humala attend Universidad Nacional José Faustino Sánchez Carrión?,Ollanta Humala attended Universidad Nacional José Faustino Sánchez Carrión.,41
119,256,267,Q57254,Ollanta Humala,Q3551837,Private University of the North,Peru,0,Did Ollanta Humala attend Private University of the North?,Ollanta Humala attended Private University of the North.,41
120,253,264,Q57254,Ollanta Humala,Q200601,Pontifical Catholic University of Peru,Peru,1,Did Ollanta Humala attend Pontifical Catholic University of Peru?,Ollanta Humala attended Pontifical Catholic University of Peru.,41
121,254,265,Q57254,Ollanta Humala,Q3551806,National Agrarian University,Peru,1,Did Ollanta Humala attend National Agrarian University?,Ollanta Humala attended National Agrarian University.,41
122,261,272,Q57258,Ivo Josipović,Q3443302,International University of Sarajevo,Bosnia and Herzegovina,0,Did Ivo Josipović attend International University of Sarajevo?,Ivo Josipović attended International University of Sarajevo.,42
123,260,271,Q57258,Ivo Josipović,Q2303102,University of Mostar,Bosnia and Herzegovina,1,Did Ivo Josipović attend University of Mostar?,Ivo Josipović attended University of Mostar.,42
124,267,278,Q57269,Felipe Calderón,Q56605392,ICEP,Mexico,0,Did Felipe Calderón attend ICEP?,Felipe Calderón attended ICEP.,43
125,266,277,Q57269,Felipe Calderón,Q1665236,Instituto Tecnológico Autónomo de México,Mexico,1,Did Felipe Calderón attend Instituto Tecnológico Autónomo de México?,Felipe Calderón attended Instituto Tecnológico Autónomo de México.,43
126,274,285,Q57289,Toomas Hendrik Ilves,Q19866142,Bay Area Medical Academy,United States of America,0,Did Toomas Hendrik Ilves attend Bay Area Medical Academy?,Toomas Hendrik Ilves attended Bay Area Medical Academy.,44
127,275,286,Q57289,Toomas Hendrik Ilves,Q16998020,JW Bible College,United States of America,0,Did Toomas Hendrik Ilves attend JW Bible College?,Toomas Hendrik Ilves attended JW Bible College.,44
128,272,283,Q57289,Toomas Hendrik Ilves,Q49117,University of Pennsylvania,United States of America,1,Did Toomas Hendrik Ilves attend University of Pennsylvania?,Toomas Hendrik Ilves attended University of Pennsylvania.,44
129,273,284,Q57289,Toomas Hendrik Ilves,Q49088,Columbia University,United States of America,1,Did Toomas Hendrik Ilves attend Columbia University?,Toomas Hendrik Ilves attended Columbia University.,44
130,280,291,Q57300,Bamir Topi,Q7200168,Pjeter Meshkalla High School,Albania,0,Did Bamir Topi attend Pjeter Meshkalla High School?,Bamir Topi attended Pjeter Meshkalla High School.,45
131,279,290,Q57300,Bamir Topi,Q1738772,Agricultural University of Tirana,Albania,1,Did Bamir Topi attend Agricultural University of Tirana?,Bamir Topi attended Agricultural University of Tirana.,45
132,290,301,Q57311,Juan Manuel Santos,Q1629641,Western Oregon University,United States of America,0,Did Juan Manuel Santos attend Western Oregon University?,Juan Manuel Santos attended Western Oregon University.,46
133,291,302,Q57311,Juan Manuel Santos,Q6974729,National Paralegal College,United States of America,0,Did Juan Manuel Santos attend National Paralegal College?,Juan Manuel Santos attended National Paralegal College.,46
134,292,303,Q57311,Juan Manuel Santos,Q132478,Oxford Brookes University,United Kingdom,0,Did Juan Manuel Santos attend Oxford Brookes University?,Juan Manuel Santos attended Oxford Brookes University.,46
135,293,304,Q57311,Juan Manuel Santos,Q1661325,Indiana University of Pennsylvania,United States of America,0,Did Juan Manuel Santos attend Indiana University of Pennsylvania?,Juan Manuel Santos attended Indiana University of Pennsylvania.,46
136,294,305,Q57311,Juan Manuel Santos,Q1276963,Sacred Heart University,United States of America,0,Did Juan Manuel Santos attend Sacred Heart University?,Juan Manuel Santos attended Sacred Heart University.,46
137,285,296,Q57311,Juan Manuel Santos,Q31249,Kansas State University,United States of America,1,Did Juan Manuel Santos attend Kansas State University?,Juan Manuel Santos attended Kansas State University.,46
138,286,297,Q57311,Juan Manuel Santos,Q52413,University of Kansas,United States of America,1,Did Juan Manuel Santos attend University of Kansas?,Juan Manuel Santos attended University of Kansas.,46
139,287,298,Q57311,Juan Manuel Santos,Q49120,Tufts University,United States of America,1,Did Juan Manuel Santos attend Tufts University?,Juan Manuel Santos attended Tufts University.,46
140,288,299,Q57311,Juan Manuel Santos,Q174570,London School of Economics and Political Science,United Kingdom,1,Did Juan Manuel Santos attend London School of Economics and Political Science?,Juan Manuel Santos attended London School of Economics and Political Science.,46
141,289,300,Q57311,Juan Manuel Santos,Q1073441,The Fletcher School of Law and Diplomacy,United States of America,1,Did Juan Manuel Santos attend The Fletcher School of Law and Diplomacy?,Juan Manuel Santos attended The Fletcher School of Law and Diplomacy.,46
142,296,308,Q57321,Laura Chinchilla,Q6156446,Distance State University,Costa Rica,0,Did Laura Chinchilla attend Distance State University?,Laura Chinchilla attended Distance State University.,47
143,295,306,Q57321,Laura Chinchilla,Q1305486,University of Costa Rica,Costa Rica,1,Did Laura Chinchilla attend University of Costa Rica?,Laura Chinchilla attended University of Costa Rica.,47
144,300,313,Q57322,Volker Beck,Q700758,Saarland University,Germany,0,Did Volker Beck attend Saarland University?,Volker Beck attended Saarland University.,48
145,299,312,Q57322,Volker Beck,Q122453,University of Stuttgart,Germany,1,Did Volker Beck attend University of Stuttgart?,Volker Beck attended University of Stuttgart.,48
146,307,320,Q57329,Danilo Türk,Q6591807,University of Belgrade Faculty of Organizational Sciences,Serbia,0,Did Danilo Türk attend University of Belgrade Faculty of Organizational Sciences?,Danilo Türk attended University of Belgrade Faculty of Organizational Sciences.,49
147,308,321,Q57329,Danilo Türk,Q125140891,Educons University,Serbia,0,Did Danilo Türk attend Educons University?,Danilo Türk attended Educons University.,49
148,305,318,Q57329,Danilo Türk,Q1377,University of Ljubljana,Slovenia,1,Did Danilo Türk attend University of Ljubljana?,Danilo Türk attended University of Ljubljana.,49
149,306,319,Q57329,Danilo Türk,Q240631,University of Belgrade,Serbia,1,Did Danilo Türk attend University of Belgrade?,Danilo Türk attended University of Belgrade.,49
150,313,326,Q57342,Mauricio Funes,Q4475794,José Matías Delgado University,El Salvador,0,Did Mauricio Funes attend José Matías Delgado University?,Mauricio Funes attended José Matías Delgado University.,50
151,312,325,Q57342,Mauricio Funes,Q1814702,"Central American University, San Salvador",El Salvador,1,"Did Mauricio Funes attend Central American University, San Salvador?","Mauricio Funes attended Central American University, San Salvador.",50
152,320,333,Q57343,Pierre Nkurunziza,Q100523641,East Africa Star University,Burundi,0,Did Pierre Nkurunziza attend East Africa Star University?,Pierre Nkurunziza attended East Africa Star University.,51
153,321,334,Q57343,Pierre Nkurunziza,Q30294313,Université des Grands Lacs,Burundi,0,Did Pierre Nkurunziza attend Université des Grands Lacs?,Pierre Nkurunziza attended Université des Grands Lacs.,51
